elapsed_ms,elapsed_s,timestamp,flag_ppg_warmup,flag_hr_artefact,heart_rate_bpm,heart_rate_clean_bpm,spo2_pct,o2_pct,ambient_temp_c,ambient_humidity_pct,pressure_a_pa,pressure_b_pa,pressure_c_ambient_pa,pressure_diff_ac_pa,pressure_diff_bc_pa,temp_bmp_a_c,temp_bmp_b_c,temp_bmp_c_c,imu_x,imu_y,imu_z,gyro_x,gyro_y,gyro_z,ppg_ir,ppg_red
0,0.0,2026-02-02 17:27:41.274000+00:00,1,0,,,,20.226,28.076,47.459,100670.906,100968.313,100809.813,-138.906,158.5,27.995,27.851,32.387,0.139,-0.307,0.898,230,45,-86,105625,85832
91,0.091,2026-02-02 17:27:41.365000+00:00,1,0,,,,20.226,28.129,47.459,100665.859,100964.219,100809.688,-143.828,154.531,28.008,27.851,32.383,0.15,-0.303,0.923,-26,-155,-7,110983,88298
227,0.227,2026-02-02 17:27:41.501000+00:00,1,0,,,,20.226,28.129,53.525,100652.109,100958.766,100809.656,-157.547,149.109,28.003,27.857,32.391,0.144,-0.333,0.923,117,-16,-163,110983,88298
317,0.317,2026-02-02 17:27:41.591000+00:00,1,0,,,,20.226,28.183,53.525,100636.016,100957.609,100809.531,-173.516,148.078,28.01,27.853,32.39,0.144,-0.315,0.924,-54,-98,158,111385,88470
414,0.414,2026-02-02 17:27:41.688000+00:00,1,0,,,,20.226,28.161,58.163,100625.219,100956.109,100809.859,-184.641,146.25,28.011,27.851,32.392,0.153,-0.292,0.919,8,-72,-17,111385,88470
495,0.495,2026-02-02 17:27:41.769000+00:00,1,0,,,,20.226,28.161,62.237,100606.188,100954.016,100809.422,-203.234,144.594,28.013,27.853,32.396,0.173,-0.323,0.919,36,51,-114,111385,88470
585,0.585,2026-02-02 17:27:41.859000+00:00,1,0,,,,20.226,28.151,62.237,100601.719,100952.297,100809.5,-207.781,142.797,28.014,27.85,32.397,0.161,-0.323,0.924,-53,-8,-16,111984,88802
699,0.699,2026-02-02 17:27:41.973000+00:00,1,0,,,,20.226,28.172,65.373,100602.25,100950.484,100809.734,-207.484,140.75,28.016,27.856,32.401,0.163,-0.308,0.916,-7,33,-1,111984,88802
787,0.787,2026-02-02 17:27:42.061000+00:00,1,0,,,,20.195,28.172,65.373,100590.563,100947.844,100809.656,-219.094,138.188,28.015,27.854,32.399,0.147,-0.307,0.927,42,1,104,111656,88492
901,0.901,2026-02-02 17:27:42.175000+00:00,1,0,,,,20.163,28.161,67.814,100586.453,100944.203,100809.297,-222.844,134.906,28.017,27.852,32.401,0.158,-0.314,0.922,-52,43,-19,111656,88492
990,0.99,2026-02-02 17:27:42.264000+00:00,1,0,,,,20.163,28.161,70.118,100586.219,100942.0,100809.703,-223.484,132.297,28.021,27.863,32.401,0.163,-0.315,0.919,-17,0,-29,111656,88492
1103,1.103,2026-02-02 17:27:42.377000+00:00,1,0,,,,20.163,28.151,70.118,100576.25,100939.922,100809.656,-233.406,130.266,28.023,27.863,32.408,0.168,-0.322,0.91,49,-4,56,111400,88472
1171,1.171,2026-02-02 17:27:42.445000+00:00,1,0,,,,20.163,28.151,72.163,100582.484,100939.109,100809.547,-227.063,129.563,28.023,27.859,32.407,0.142,-0.316,0.938,-21,-10,59,111400,88472
1351,1.351,2026-02-02 17:27:42.625000+00:00,1,0,,,,20.099,28.151,72.163,100602.609,100938.453,100809.563,-206.953,128.891,28.031,27.862,32.411,0.15,-0.32,0.925,-18,-30,82,104857,84174
1400,1.4,2026-02-02 17:27:42.674000+00:00,1,0,,,,20.067,28.14,73.72,100663.938,100940.297,100809.406,-145.469,130.891,28.028,27.859,32.414,0.16,-0.311,0.913,73,-8,127,104857,84174
1489,1.489,2026-02-02 17:27:42.763000+00:00,1,0,,,,20.035,28.14,73.918,100718.734,100944.156,100809.094,-90.359,135.063,28.024,27.864,32.416,0.167,-0.33,0.921,-35,55,-26,104857,84174
1619,1.619,2026-02-02 17:27:42.893000+00:00,1,0,,,,20.003,28.118,73.918,100821.734,100952.422,100809.281,12.453,143.141,28.023,27.856,32.421,0.161,-0.332,0.918,56,39,289,102924,83175
1711,1.711,2026-02-02 17:27:42.985000+00:00,1,0,,,,19.972,28.076,70.027,100986.297,100957.25,100809.219,177.078,148.031,28.025,27.857,32.42,0.151,-0.312,0.927,18,84,-146,102924,83175
1801,1.801,2026-02-02 17:27:43.075000+00:00,1,0,,,,19.94,28.076,65.159,101075.297,100961.156,100809.031,266.266,152.125,28.021,27.858,32.421,0.137,-0.313,0.922,183,20,-305,103003,83144
1910,1.91,2026-02-02 17:27:43.184000+00:00,1,0,,,,19.876,28.076,65.159,101132.391,100965.578,100808.859,323.531,156.719,28.016,27.867,32.424,0.143,-0.317,0.92,95,41,316,103003,83144
2024,2.024,2026-02-02 17:27:43.298000+00:00,1,0,,,,19.844,28.065,60.879,101152.641,100966.719,100809.25,343.391,157.469,28.024,27.862,32.426,0.139,-0.291,0.931,90,118,-23,103003,83144
2119,2.119,2026-02-02 17:27:43.393000+00:00,1,0,,,,19.844,28.065,57.301,101166.078,100969.094,100808.984,357.094,160.109,28.012,27.858,32.425,0.139,-0.287,0.936,199,117,-15,102770,82714
2205,2.205,2026-02-02 17:27:43.479000+00:00,1,0,,,,19.812,28.076,57.301,101180.172,100970.234,100808.797,371.375,161.438,28.019,27.856,32.426,0.123,-0.293,0.931,-218,49,12,102770,82714
2295,2.295,2026-02-02 17:27:43.569000+00:00,1,0,,,,19.812,28.076,54.219,101184.203,100970.656,100808.938,375.266,161.719,28.006,27.864,32.431,0.161,-0.303,0.928,125,185,97,101221,82104
2385,2.385,2026-02-02 17:27:43.659000+00:00,1,0,,,,19.781,28.065,54.219,101184.531,100971.469,100809.047,375.484,162.422,28.013,27.858,32.426,0.137,-0.285,0.927,199,284,18,102824,83144
2503,2.503,2026-02-02 17:27:43.777000+00:00,1,0,,,,19.781,28.054,51.571,101185.875,100972.328,100809.453,376.422,162.875,28.011,27.859,32.435,0.113,-0.264,0.938,377,302,-489,102824,83144
2632,2.632,2026-02-02 17:27:43.906000+00:00,1,0,,,,19.781,28.054,49.443,101184.203,100971.922,100809.047,375.156,162.875,28.009,27.865,32.435,0.034,-0.235,0.971,258,150,177,100538,81582
2700,2.7,2026-02-02 17:27:43.974000+00:00,1,0,,,,19.781,28.054,49.443,101197.438,100968.719,100808.594,388.844,160.125,28.01,27.858,32.435,0.089,-0.246,0.939,25,283,43,100538,81582
2791,2.791,2026-02-02 17:27:44.065000+00:00,1,0,,,,19.781,28.054,48.077,101056.844,100966.984,100809.516,247.328,157.469,28.01,27.86,32.434,0.092,-0.216,0.946,299,44,-277,104016,83572
2880,2.88,2026-02-02 17:27:44.154000+00:00,1,0,,,,19.801,28.076,50.496,100925.766,100949.484,100809.469,116.297,140.016,28.011,27.86,32.437,0.085,-0.237,0.955,-11,-41,-311,104016,83572
2997,2.997,2026-02-02 17:27:44.271000+00:00,0,1,120.0,,97.0,19.781,28.097,50.496,100714.125,100951.297,100809.359,-95.234,141.938,28.014,27.86,32.438,0.086,-0.214,0.946,22,-46,-210,104016,83572
3104,3.104,2026-02-02 17:27:44.378000+00:00,0,1,120.0,,97.0,19.781,28.097,56.271,100605.625,100950.609,100808.469,-202.844,142.141,28.024,27.863,32.439,0.067,-0.206,0.959,-51,-11,98,109232,85670
3195,3.195,2026-02-02 17:27:44.469000+00:00,0,1,120.0,,97.0,19.812,28.161,56.271,100559.141,100948.359,100809.328,-250.188,139.031,28.026,27.859,32.445,0.079,-0.211,0.957,-32,-28,-28,109232,85670
3290,3.29,2026-02-02 17:27:44.564000+00:00,0,1,120.0,,97.0,19.812,28.194,61.917,100549.344,100946.625,100809.016,-259.672,137.609,28.035,27.863,32.44,0.08,-0.226,0.961,-28,-59,39,109301,85521
