Elapsed Time (ms),Timestamp,Ambient Temperature,Ambient Humidity,Heart Rate (bpm),SpO2 (%),HRV SDNN (ms),Lung Volume (L),O2 (%),CO2 (%),RER (ΔCO₂/ΔO₂),Pressure BMP A (Pa),Pressure BMP B (Pa),Pressure BMP C Ambient (Pa),Pressure Diff A-C (Pa),Pressure Diff B-C (Pa),Temperature BMP A (°C),Temperature BMP B (°C),Temperature BMP C (°C),IMU X (m/s²),IMU Y (m/s²),IMU Z (m/s²),BMI Gyro X (°/s),BMI Gyro Y (°/s),BMI Gyro Z (°/s),PPG IR,PPG Red,Battery State (%)
0,2026-02-02T17:27:41.274Z,28.076,47.459,,,,4.5,20.226,0,0.7,100670.906,100968.313,100809.813,-138.906,158.5,27.995,27.851,32.387,0.139,-0.307,0.898,230,45,-86,105625,85832,0
91,2026-02-02T17:27:41.365Z,28.129,47.459,,,,4.5,20.226,0,0.7,100665.859,100964.219,100809.688,-143.828,154.531,28.008,27.851,32.383,0.15,-0.303,0.923,-26,-155,-7,110983,88298,0
227,2026-02-02T17:27:41.501Z,28.129,53.525,,,,4.5,20.226,0,0.7,100652.109,100958.766,100809.656,-157.547,149.109,28.003,27.857,32.391,0.144,-0.333,0.923,117,-16,-163,110983,88298,0
317,2026-02-02T17:27:41.591Z,28.183,53.525,,,,4.5,20.226,0,0.7,100636.016,100957.609,100809.531,-173.516,148.078,28.01,27.853,32.39,0.144,-0.315,0.924,-54,-98,158,111385,88470,0
414,2026-02-02T17:27:41.688Z,28.161,58.163,,,,4.5,20.226,0,0.7,100625.219,100956.109,100809.859,-184.641,146.25,28.011,27.851,32.392,0.153,-0.292,0.919,8,-72,-17,111385,88470,0
495,2026-02-02T17:27:41.769Z,28.161,62.237,,,,4.5,20.226,0,0.7,100606.188,100954.016,100809.422,-203.234,144.594,28.013,27.853,32.396,0.173,-0.323,0.919,36,51,-114,111385,88470,0
585,2026-02-02T17:27:41.859Z,28.151,62.237,,,,4.5,20.226,0,0.7,100601.719,100952.297,100809.5,-207.781,142.797,28.014,27.85,32.397,0.161,-0.323,0.924,-53,-8,-16,111984,88802,0
699,2026-02-02T17:27:41.973Z,28.172,65.373,,,,4.5,20.226,0,0.7,100602.25,100950.484,100809.734,-207.484,140.75,28.016,27.856,32.401,0.163,-0.308,0.916,-7,33,-1,111984,88802,0
787,2026-02-02T17:27:42.061Z,28.172,65.373,,,,4.5,20.195,0,0.7,100590.563,100947.844,100809.656,-219.094,138.188,28.015,27.854,32.399,0.147,-0.307,0.927,42,1,104,111656,88492,0
901,2026-02-02T17:27:42.175Z,28.161,67.814,,,,4.5,20.163,0,0.7,100586.453,100944.203,100809.297,-222.844,134.906,28.017,27.852,32.401,0.158,-0.314,0.922,-52,43,-19,111656,88492,0
990,2026-02-02T17:27:42.264Z,28.161,70.118,,,,4.5,20.163,0,0.7,100586.219,100942,100809.703,-223.484,132.297,28.021,27.863,32.401,0.163,-0.315,0.919,-17,0,-29,111656,88492,0
1103,2026-02-02T17:27:42.377Z,28.151,70.118,,,,4.5,20.163,0,0.7,100576.25,100939.922,100809.656,-233.406,130.266,28.023,27.863,32.408,0.168,-0.322,0.91,49,-4,56,111400,88472,0
1171,2026-02-02T17:27:42.445Z,28.151,72.163,,,,4.5,20.163,0,0.7,100582.484,100939.109,100809.547,-227.063,129.563,28.023,27.859,32.407,0.142,-0.316,0.938,-21,-10,59,111400,88472,0
1351,2026-02-02T17:27:42.625Z,28.151,72.163,,,,4.5,20.099,0,0.7,100602.609,100938.453,100809.563,-206.953,128.891,28.031,27.862,32.411,0.15,-0.32,0.925,-18,-30,82,104857,84174,0
1400,2026-02-02T17:27:42.674Z,28.14,73.72,,,,4.5,20.067,0,0.7,100663.938,100940.297,100809.406,-145.469,130.891,28.028,27.859,32.414,0.16,-0.311,0.913,73,-8,127,104857,84174,0
1489,2026-02-02T17:27:42.763Z,28.14,73.918,,,,4.5,20.035,0,0.7,100718.734,100944.156,100809.094,-90.359,135.063,28.024,27.864,32.416,0.167,-0.33,0.921,-35,55,-26,104857,84174,0
1619,2026-02-02T17:27:42.893Z,28.118,73.918,,,,4.5,20.003,0,0.7,100821.734,100952.422,100809.281,12.453,143.141,28.023,27.856,32.421,0.161,-0.332,0.918,56,39,289,102924,83175,0
1711,2026-02-02T17:27:42.985Z,28.076,70.027,,,,4.5,19.972,0,0.7,100986.297,100957.25,100809.219,177.078,148.031,28.025,27.857,32.42,0.151,-0.312,0.927,18,84,-146,102924,83175,0
1801,2026-02-02T17:27:43.075Z,28.076,65.159,,,,4.5,19.94,0,0.7,101075.297,100961.156,100809.031,266.266,152.125,28.021,27.858,32.421,0.137,-0.313,0.922,183,20,-305,103003,83144,0
1910,2026-02-02T17:27:43.184Z,28.076,65.159,,,,4.5,19.876,0,0.7,101132.391,100965.578,100808.859,323.531,156.719,28.016,27.867,32.424,0.143,-0.317,0.92,95,41,316,103003,83144,0
2024,2026-02-02T17:27:43.298Z,28.065,60.879,,,,4.5,19.844,0,0.7,101152.641,100966.719,100809.25,343.391,157.469,28.024,27.862,32.426,0.139,-0.291,0.931,90,118,-23,103003,83144,0
2119,2026-02-02T17:27:43.393Z,28.065,57.301,,,,4.5,19.844,0,0.7,101166.078,100969.094,100808.984,357.094,160.109,28.012,27.858,32.425,0.139,-0.287,0.936,199,117,-15,102770,82714,0
2205,2026-02-02T17:27:43.479Z,28.076,57.301,,,,4.5,19.812,0,0.7,101180.172,100970.234,100808.797,371.375,161.438,28.019,27.856,32.426,0.123,-0.293,0.931,-218,49,12,102770,82714,0
2295,2026-02-02T17:27:43.569Z,28.076,54.219,,,,4.5,19.812,0,0.7,101184.203,100970.656,100808.938,375.266,161.719,28.006,27.864,32.431,0.161,-0.303,0.928,125,185,97,101221,82104,0
2385,2026-02-02T17:27:43.659Z,28.065,54.219,,,,4.5,19.781,0,0.7,101184.531,100971.469,100809.047,375.484,162.422,28.013,27.858,32.426,0.137,-0.285,0.927,199,284,18,102824,83144,0
2503,2026-02-02T17:27:43.777Z,28.054,51.571,,,,4.5,19.781,0,0.7,101185.875,100972.328,100809.453,376.422,162.875,28.011,27.859,32.435,0.113,-0.264,0.938,377,302,-489,102824,83144,0
2632,2026-02-02T17:27:43.906Z,28.054,49.443,,,,4.5,19.781,0,0.7,101184.203,100971.922,100809.047,375.156,162.875,28.009,27.865,32.435,0.034,-0.235,0.971,258,150,177,100538,81582,0
2700,2026-02-02T17:27:43.974Z,28.054,49.443,,,,4.5,19.781,0,0.7,101197.438,100968.719,100808.594,388.844,160.125,28.01,27.858,32.435,0.089,-0.246,0.939,25,283,43,100538,81582,0
2791,2026-02-02T17:27:44.065Z,28.054,48.077,,,,4.5,19.781,0,0.7,101056.844,100966.984,100809.516,247.328,157.469,28.01,27.86,32.434,0.092,-0.216,0.946,299,44,-277,104016,83572,0
2880,2026-02-02T17:27:44.154Z,28.076,50.496,,,,4.5,19.801,0,0.7,100925.766,100949.484,100809.469,116.297,140.016,28.011,27.86,32.437,0.085,-0.237,0.955,-11,-41,-311,104016,83572,0
2997,2026-02-02T17:27:44.271Z,28.097,50.496,120,97,,4.5,19.781,0,0.7,100714.125,100951.297,100809.359,-95.234,141.938,28.014,27.86,32.438,0.086,-0.214,0.946,22,-46,-210,104016,83572,0
3104,2026-02-02T17:27:44.378Z,28.097,56.271,120,97,,4.5,19.781,0,0.7,100605.625,100950.609,100808.469,-202.844,142.141,28.024,27.863,32.439,0.067,-0.206,0.959,-51,-11,98,109232,85670,0
3195,2026-02-02T17:27:44.469Z,28.161,56.271,120,97,,4.5,19.812,0,0.7,100559.141,100948.359,100809.328,-250.188,139.031,28.026,27.859,32.445,0.079,-0.211,0.957,-32,-28,-28,109232,85670,0
3290,2026-02-02T17:27:44.564Z,28.194,61.917,120,97,,4.5,19.812,0,0.7,100549.344,100946.625,100809.016,-259.672,137.609,28.035,27.863,32.44,0.08,-0.226,0.961,-28,-59,39,109301,85521,0
3422,2026-02-02T17:27:44.696Z,28.194,66.227,120,97,,4.5,19.812,0,0.7,100552.047,100944.938,100808.828,-256.781,136.109,28.037,27.864,32.443,0.093,-0.222,0.99,329,-82,-164,109301,85521,0
3511,2026-02-02T17:27:44.785Z,28.194,66.227,120,97,,4.5,19.812,0,0.7,100543.828,100943.75,100808.813,-264.984,134.938,28.029,27.871,32.449,0.085,-0.209,0.979,408,-23,63,109301,85521,0
3600,2026-02-02T17:27:44.874Z,28.226,69.783,120,97,,4.5,19.812,0,0.7,100534.375,100941.438,100809.063,-274.688,132.375,28.039,27.87,32.45,0.078,-0.164,0.926,912,-98,124,109747,85347,0
3690,2026-02-02T17:27:44.964Z,28.226,72.659,120,97,,4.5,19.781,0,0.7,100529.594,100938.672,100809.047,-279.453,129.625,28.047,27.867,32.451,0.096,-0.188,0.953,-603,208,-103,109747,85347,0
3824,2026-02-02T17:27:45.098Z,28.226,72.659,120,97,,4.5,19.781,0,0.7,100523.078,100934.5,100808.781,-285.703,125.719,28.043,27.864,32.454,0.101,-0.194,0.958,24,-154,-89,110212,85222,0
3915,2026-02-02T17:27:45.189Z,28.226,75.116,120,97,,4.5,19.781,0,0.7,100523.344,100926.734,100808.969,-285.625,117.766,28.052,27.866,32.453,0.095,-0.201,0.962,91,-62,195,110212,85222,0
4016,2026-02-02T17:27:45.290Z,28.215,75.116,120,97,,4.5,19.741,0,0.7,100514.813,100916.703,100808.906,-294.094,107.797,28.048,27.867,32.452,0.128,-0.2,0.959,-32,4,45,110212,85222,0
4094,2026-02-02T17:27:45.368Z,28.226,77.275,120,97,,4.5,19.757,0,0.7,100495.906,100904.297,100808.984,-313.078,95.313,28.055,27.866,32.458,0.096,-0.187,0.958,255,33,223,110063,85135,0
4185,2026-02-02T17:27:45.459Z,28.226,79.228,120,97,,4.5,19.717,0,0.7,100490.516,100900.5,100809.219,-318.703,91.281,28.048,27.876,32.464,0.093,-0.186,0.955,-224,43,-218,110063,85135,0
4276,2026-02-02T17:27:45.550Z,28.204,79.228,120,97,,4.5,19.717,0,0.7,100490.188,100900.391,100809.453,-319.266,90.938,28.048,27.877,32.463,0.06,-0.204,0.999,10,135,-11,110140,85130,0
4368,2026-02-02T17:27:45.642Z,28.236,81.051,120,97,,4.5,19.653,0,0.7,100497.313,100899.031,100809.531,-312.219,89.5,28.054,27.883,32.465,0.099,-0.187,0.961,-152,-20,-124,110140,85130,0
4500,2026-02-02T17:27:45.774Z,28.236,82.318,120,97,,4.5,19.653,0,0.7,100553.422,100897.578,100809.406,-255.984,88.172,28.055,27.888,32.466,0.052,-0.156,1,-30,43,-361,110140,85130,0
